Name,Class,Role,Tier,Score,Trend,Win,Role pick rate,Pick,Ban,KDA,Buffed,Nerfed
Sivir ,Marksman ,ADC ,D ,34.58,-0.51,50.01,94.7,2.46,0.63,2.4,0,1
Skarner ,Fighter ,JUNGLE ,A ,51.24,12.92,52.39,75.95,0.84,0.19,3.05,0,0
Skarner ,Fighter ,TOP ,B ,43.75,14.22,53.14,21.33,0.22,0.19,2.45,0,0
Sona ,Support ,SUPPORT ,A ,51.7,-5.04,51.7,96.47,3.63,0.32,2.95,0,0
Soraka ,Support ,SUPPORT ,S ,56.53,-0.65,50.73,93.72,6.21,3.86,2.78,0,0
Swain ,Mage ,MID ,A ,53.64,-3.45,51.66,35.09,3.24,7.64,2.55,0,0
Swain ,Mage ,SUPPORT ,B ,46.71,-2.43,49.07,36.37,4,7.64,2.35,0,0
Swain ,Mage ,TOP ,B ,45.14,-4.5,51.04,16.37,1.64,7.64,2.12,0,0
Swain ,Mage ,ADC ,D ,36.06,-9.92,51.46,12.08,1.11,7.64,2.73,0,0
Sylas ,Mage ,MID ,God ,67.31,7.85,50.7,84.45,8.59,4.99,2.18,0,0
Sylas ,Mage ,TOP ,D ,35.72,4.66,48.66,10.71,1.03,4.99,1.93,0,0
Syndra ,Mage ,MID ,C ,40.58,-3.75,47.71,84.75,2.14,0.71,2.26,0,0
Tahm Kench ,Support ,TOP ,S ,59.36,19.78,53.19,54.02,3.04,2.52,2.64,0,0
Tahm Kench ,Support ,ADC ,A ,50.16,14.95,57.13,21.78,1.01,2.52,3.17,0,0
Tahm Kench ,Support ,SUPPORT ,D ,34.37,-3.51,46.7,21.86,1.11,2.52,2.39,0,0
Taliyah ,Mage ,MID ,A ,48.33,-27.08,49.73,47.26,2.95,12.53,2.2,1,0
Taliyah ,Mage ,JUNGLE ,B ,44.79,-17.67,48.06,44.44,2.87,12.53,2.52,1,0
Talon ,Assassin ,MID ,B ,46.54,-1.15,50.27,42.69,2.55,3.23,2.18,0,0
Talon ,Assassin ,JUNGLE ,B ,44.86,-4.83,48.25,53.64,3.22,3.23,2.49,0,0
Taric ,Support ,SUPPORT ,A ,52.2,18.28,54.29,81.52,2.09,0.34,2.9,0,0
Taric ,Support ,JUNGLE ,B ,47.42,0,50.96,10.11,0.26,0.29,2.9,0,0
Teemo ,Marksman ,TOP ,S ,60.51,-2.46,51.6,77.54,4.6,7.35,1.74,1,0
Thresh ,Support ,SUPPORT ,A ,54.25,-0.11,48.49,96.79,7.23,2.16,2.61,0,0
Tristana ,Marksman ,ADC ,B ,47.99,-5.9,50.21,83.4,6.89,3.84,2.33,0,0
Tristana ,Marksman ,MID ,B ,45.49,1.39,52.24,13.89,0.97,3.84,2.26,0,0
Trundle ,Fighter ,JUNGLE ,A ,54.51,4.5,53.34,70.27,2.97,2.4,2.79,0,0
Trundle ,Fighter ,TOP ,C ,41.5,1.24,51.94,25.78,1.09,2.4,1.76,0,0
Tryndamere ,Fighter ,TOP ,A ,49.95,10.88,50.31,82.49,3.19,5.9,1.84,0,0
Tryndamere ,Fighter ,MID ,B ,42.65,0,52.08,11.42,0.38,5.9,2.12,0,0
Twisted Fate ,Mage ,MID ,B ,44.19,-3.2,47.9,90.45,3.15,0.24,2.28,0,0
Twitch ,Marksman ,ADC ,S ,63.19,6.21,51.93,85.54,10.11,8.2,2.47,0,0
Udyr ,Fighter ,JUNGLE ,B ,46.58,11.01,49.59,91.93,2.08,0.63,2.72,0,0
Urgot ,Fighter ,TOP ,A ,48.59,-4.28,51.34,91.03,2.47,1.45,1.98,0,0
Varus ,Marksman ,MID ,C ,37.94,-0.79,49.11,13.56,0.45,0.25,2.27,1,0
Varus ,Marksman ,ADC ,D ,34.84,1.02,49.96,84.02,2.74,0.23,2.34,1,0
Vayne ,Marksman ,ADC ,S ,57.48,-27.25,50.72,79.04,8.96,16.2,2.1,0,0
Vayne ,Marksman ,TOP ,C ,41.69,-0.77,49.45,18.11,2.01,16.2,1.58,0,0
Veigar ,Mage ,MID ,God ,67.2,-2.24,51.51,77.12,7.56,7.51,2.39,0,0
Veigar ,Mage ,ADC ,C ,36.94,3.81,52.38,14.3,1.38,7.51,2.43,0,0
Vel'Koz ,Mage ,MID ,B ,47.9,0.46,51.7,41.68,1.46,0.64,2.66,0,0
Vel'Koz ,Mage ,SUPPORT ,B ,44.43,-1.44,51.33,53.7,2.01,0.68,2.27,0,0
Vex ,Mage ,MID ,B ,46.74,-7.52,48.72,89.62,3.21,5.23,2.34,1,0
Vi ,Fighter ,JUNGLE ,A ,49.75,-5.91,51.23,92.46,3.28,0.98,2.45,0,0
Viego ,Assassin ,JUNGLE ,S ,63.74,-26.75,49.8,94.06,14.18,12.97,2.49,0,1
Viktor ,Mage ,MID ,S ,65.28,3.63,51.58,93.8,7.26,3.67,2.38,0,0
Vladimir ,Mage ,MID ,A ,51.38,3.63,49.74,69.41,3.89,6.41,2.4,0,0
Vladimir ,Mage ,TOP ,C ,38.05,2.28,48.36,28.38,1.45,6.41,2.04,0,0
Volibear ,Fighter ,JUNGLE ,S ,60.13,-0.57,53.37,54.87,6.63,7.74,2.88,0,1
Volibear ,Fighter ,TOP ,S ,56.01,15.93,48.22,42.73,5.27,7.74,1.64,0,1
Warwick ,Fighter ,JUNGLE ,A ,50.8,-3.99,51.31,71.42,4.39,4.24,2.26,0,0
Warwick ,Fighter ,TOP ,A ,48.09,13.79,54.25,26.29,1.21,4.24,1.94,0,0
Wukong ,Fighter ,JUNGLE ,S ,64.88,-26.51,52.94,76.81,8.18,25.59,2.93,0,0
Wukong ,Fighter ,TOP ,A ,49.25,-10.72,50.15,19.74,2.16,25.59,2.14,0,0
Xayah ,Marksman ,ADC ,B ,42.63,-0.13,49.72,97.84,5.57,0.93,2.36,0,0
Xerath ,Mage ,MID ,S ,55.74,1.54,52.06,43.9,2.6,3.55,3.34,0,0
Xerath ,Mage ,SUPPORT ,A ,49.34,-3.2,51.21,50.78,3.27,3.55,2.71,0,0
Xin Zhao ,Fighter ,JUNGLE ,B ,44.19,10.35,48.73,88.67,2.82,0.93,2.29,0,0
Yasuo ,Fighter ,MID ,God ,87.4,-1.29,49.37,68.85,12.6,23.99,1.76,0,0
Yasuo ,Fighter ,TOP ,B ,46.45,2.93,49.31,14.59,2.6,23.99,1.53,0,0
Yasuo ,Fighter ,ADC ,D ,33.91,10.68,49.49,15.43,2.66,23.99,1.98,0,0
Yone ,Assassin ,MID ,God ,76.96,6.09,51.19,62.15,10.26,15.42,1.97,0,0
Yone ,Assassin ,TOP ,S ,63.77,0.53,50.4,34.73,5.35,15.42,1.71,0,0
Yorick ,Fighter ,TOP ,B ,47.95,8.2,52.64,94.29,2.26,2.64,1.59,1,0
Yuumi ,Support ,SUPPORT ,God ,94.89,18.06,50.58,98.46,13.33,28.71,4.37,0,1
Zac ,Tank ,JUNGLE ,S ,58.47,3.6,52.45,76.45,4.31,3.18,3.66,0,0
Zac ,Tank ,TOP ,A ,50.9,0,54.42,14.51,0.69,3.18,2.79,0,0
Zed ,Assassin ,MID ,God ,67.98,-3.42,48.2,73.4,7.34,28.72,2.34,0,0
Zed ,Assassin ,JUNGLE ,B ,42.46,0.9,47.03,21.98,2.01,28.72,2.58,0,0
Zeri ,Marksman ,ADC ,God ,90.64,64.58,51.62,85.78,15.62,21.15,2.5,0,1
Ziggs ,Mage ,MID ,C ,42.28,-4.34,50.18,35.55,0.91,0.34,2.45,0,0
Ziggs ,Mage ,ADC ,D ,35.08,7.31,51.29,57.15,1.39,0.32,2.54,0,0
Zilean ,Support ,MID ,A ,52.69,-1.77,52.49,21.28,1.05,2.71,3.57,0,0
Zilean ,Support ,SUPPORT ,A ,49.18,-5.34,49.8,75.08,3.65,2.71,3.09,0,0
Zoe ,Mage ,MID ,A ,48.25,-0.96,48.23,91.87,3.82,1.73,2.51,0,0
Zyra ,Mage ,SUPPORT ,A ,49.39,4.09,52.49,90.71,3.15,1.91,2.24,0,0
